Type,Type ID,Tag,Name,Address,City,Full Address,Phone,Fax,Website,Email,Description
Business,1,Accounting,C. Hundley & Company,419 W Main St,"Staunton, IL","419 W Main St Staunton, IL",618-635-2487,,,,
Business,1,Accounting,"Gina Gucciardo, CPA",314 S Macoupin St,"Gillespie, IL","314 S Macoupin St Gillespie, IL",217-839-4226,,,,
Business,1,Accounting,H&R Block-Ambuehl Acct,230 E Main,"Staunton, IL","230 E Main Staunton, IL",618-635-2100,,,,
Business,1,Accounting,Kiffmeyer Acct & Tax Service,201 E Warren,"Bunker Hill, IL","201 E Warren Bunker Hill, IL",618-585-3061,,,,
Business,1,Accounting,Lawrence Travis & Co PC,133 E Jackson St,"Virden, IL","133 E Jackson St Virden, IL",217-965-5466,,,,
Business,1,Accounting,Richard Walden CPA,34 Sonnemann,"Carlinville, IL","34 Sonnemann Carlinville, IL",217-854-4728,,,,
Business,1,Accounting,Tax-Masters,"Rt. 2, Box 88A","Brighton, IL","Rt. 2, Box 88A Brighton, IL",618-372-3000,,,,
Business,1,Accounting,Wall Street Financial Group,217 W Main,"Carlinville, IL","217 W Main Carlinville, IL",217-854-3300,,,,
Business,1,Agriculture,Agri Solutions,31832 Delhi Rd,"Brighton, IL","31832 Delhi Rd Brighton, IL",618-372-3000,,,,
Business,1,Agriculture,Agriculture Consultant: Randy Darr,7033 Rt. 16,"Shipman, IL","7033 Rt. 16 Shipman, IL",618-836-5503,,,,
Business,1,Agriculture,Barnett Farms Trucking Inc.,5495 Fosterburg Rd.,"Shipman, IL","5495 Fosterburg Rd. Shipman, IL",618-836-7384,,,,
Business,1,Agriculture,"Danny Schetter, Burrus Seed",,"Brighton, IL"," Brighton, IL",618-372-3412,,,,
Business,1,Agriculture,Dick Shelton Seed Sales,12102 Chesterfield Rd.,"Shipman, IL","12102 Chesterfield Rd. Shipman, IL",618-836-7736,,,,
Business,1,Agriculture,Forklifts-N-More,319 E. Railroad,"Shipman, IL","319 E. Railroad Shipman, IL",618-836-7746,,,,
Business,1,Agriculture,Illinoie Propane,P. O. Box 113,"Medora, IL","P. O. Box 113 Medora, IL",618-729-3848,,,,
Business,1,Agriculture,J. D. Wilson Trucking,1295 Rt. 16,"Shipman, IL","1295 Rt. 16 Shipman, IL",618-729-4221,,,,
Business,1,Agriculture,M&M Service Co Elevator,130 N Chiles St,"Carlinville, IL","130 N Chiles St Carlinville, IL",217-854-3148,,,,
Business,1,Agriculture,M&M Service Company,RR1,"Chesterfield, IL","RR1 Chesterfield, IL",618-753-3127,,,,
Business,1,Agriculture,M&M Service Company,East Main,"Palmyra, IL","East Main Palmyra, IL",217-436-2492,,,,
Business,1,Agriculture,Medora FS,Rt. 1,"Medora, IL","Rt. 1 Medora, IL",618-729-4411,,,,
Business,1,Agriculture,Ennel Milling,415 E Main,Mt. Olive,415 E Main Mt. Olive,217-999-2161,,,,
Business,1,Agriculture,Pioneer Seed,5495 N. Fosterburg Rd.,"Shipman, IL","5495 N. Fosterburg Rd. Shipman, IL",618-836-7384,,,,
Business,1,Agriculture,Rhodes Family Farm,8863 Dustman Rd,"Worden, IL","8863 Dustman Rd Worden, IL",618-307-4989,,,,
Business,1,Agriculture,Shipman Elevator Co.,3620 Highway 16,"Shipman, IL","3620 Highway 16 Shipman, IL",618-836-5568,,,,
Business,1,Agriculture,Shipman Elevator Co.,,"Medora, IL"," Medora, IL",618-729-3228,,,,
Business,1,Agriculture,Soil Right Consulting,7033 Rt. 16,"Shipman, IL","7033 Rt. 16 Shipman, IL",618-836-5503,,,,
Business,1,Agriculture,"Wilson's Grain & Fertilizer, Inc.",P.O. Box 83,"Piasa, IL","P.O. Box 83 Piasa, IL",618-729-4221,,,,
Business,1,Attorney,Albert-Fritz Law Office,401 N Maple St,"Brighton, IL","401 N Maple St Brighton, IL",866-818-3840,,,,
Business,1,Attorney,Bill Nichelson,1330 N Springfield St,"Virden, IL","1330 N Springfield St Virden, IL",217-965-1400,,,,
Business,1,Attorney,Community Law Office,110 S Cleveland,"Farmersville, IL","110 S Cleveland Farmersville, IL",,,,,
